iter	Passed	Remaining
0	341	170175
1	524	130559
2	709	117611
3	894	110858
4	1080	107018
5	1265	104215
6	1451	102244
7	1635	100571
8	1817	99166
9	1995	97766
10	2182	97018
11	2414	98187
12	2615	97981
13	2794	97016
14	2998	96946
15	3186	96388
16	3364	95583
17	3539	94782
18	3723	94261
19	3904	93699
20	4075	92961
21	4245	92245
22	4430	91893
23	4600	91252
24	4774	90713
25	4949	90225
26	5129	89861
27	5300	89344
28	5473	88904
29	5654	88591
30	5827	88171
31	6003	87797
32	6173	87361
33	6355	87102
34	6522	86657
35	6695	86303
36	6868	85945
37	7030	85476
38	7207	85202
39	7372	84783
40	7544	84462
41	7720	84185
42	7892	83876
43	8063	83567
44	8230	83223
45	8410	83009
46	8583	82731
47	8749	82388
48	8920	82105
49	9088	81794
50	9256	81490
51	9427	81222
52	9614	81090
53	9780	80780
54	9953	80531
55	10123	80266
56	10295	80013
57	10460	79719
58	10633	79482
59	10797	79178
60	10969	78946
61	11139	78697
62	11316	78497
63	11486	78253
64	11650	77971
65	11827	77774
66	11997	77536
67	12174	77346
68	12338	77071
69	12516	76885
70	12674	76581
71	12842	76342
72	13010	76104
73	13180	75877
74	13358	75697
75	13534	75506
76	13698	75253
77	13860	74988
78	14030	74772
79	14205	74577
80	14368	74324
81	14537	74103
82	14710	73905
83	14880	73693
84	15060	73529
85	15227	73304
86	15396	73090
87	15566	72880
88	15736	72671
89	15903	72449
90	16066	72212
91	16232	71985
92	16400	71773
93	16605	71723
94	16775	71517
95	16940	71293
96	17109	71085
97	17278	70877
98	17449	70678
99	17614	70459
100	17778	70233
101	17945	70023
102	18122	69848
103	18285	69626
104	18454	69425
105	18620	69211
106	18781	68983
107	18947	68772
108	19125	68606
109	19285	68374
110	19445	68145
111	19608	67928
112	19776	67729
113	19951	67553
114	20124	67371
115	20283	67144
116	20450	66945
117	20637	66809
118	20804	66609
119	20966	66393
120	21143	66226
121	21308	66020
122	21472	65815
123	21637	65609
124	21801	65405
125	21971	65215
126	22147	65048
127	22314	64852
128	22482	64657
129	22645	64452
130	22798	64219
131	22974	64050
132	23138	63849
133	23305	63654
134	23480	63485
135	23637	63266
136	23803	63070
137	23975	62891
138	24144	62706
139	24308	62507
140	24477	62321
141	24650	62146
142	24816	61955
143	24983	61763
144	25151	61578
145	25313	61376
146	25477	61181
147	25656	61020
148	25823	60832
149	25989	60642
150	26169	60485
151	26336	60296
152	26507	60119
153	26671	59924
154	26836	59731
155	27017	59577
156	27207	59439
157	27378	59261
158	27582	59154
159	27745	58959
160	27912	58771
161	28076	58579
162	28236	58378
163	28404	58194
164	28578	58022
165	28754	57855
166	28923	57672
167	29097	57503
168	29263	57314
169	29430	57129
170	29607	56964
171	29778	56787
172	29941	56595
